identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
506074,A9108,ROLL 20/28,Communist meetings in Western Australia,1945 - 1949,1945,1949,Open,Canberra,False,0
1353596,A9108,ROLL 20/39,Netherlands East Indies - Military detention camp - Casino [176pp],1945 - 1947,1945,1947,Open,Canberra,True,199
1353598,A9108,ROLL 20/45,Chinese communists - General activities in Australia,1948 - 1951,1948,1951,Open with exception,Canberra,True,145
1353599,A9108,ROLL 20/27,Communistic direct action and demonstration in South Australia,1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1353600,A9108,ROLL 20/46,Chinese Consulate - Activities,1950 - 1951,1950,1951,Open with exception,Canberra,True,9
1353601,A9108,ROLL 20/13,"Communism in trade unions, Victoria",1949 - 1950,1949,1950,Open with exception,Canberra,False,0
1353602,A9108,ROLL 16/28,Germ warfare - Korea - Press cuttings - Guardian etc,1953 - 1953,1953,1953,Open with exception,Canberra,True,67
1353603,A9108,ROLL 16/29,Simpsons Agencies Pty Ltd,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353604,A9108,ROLL 16/32,Theft of arms and ammunition in Sydney (Enquiry by W C Wentworth MP),1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353605,A9108,ROLL 20/14,Communism - Direct action and demonstration in Victoria,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353608,A9108,ROLL 20/19,"Communist activities at Port Augusta, South Australia [contents: public meetings of CPA (Communist Party of Australia) in Botanic Park, Adelaide]",1949 - 1951,1949,1951,Open with exception,Canberra,False,0
1353612,A9108,ROLL 20/5,Communism members and membership lists in Victoria,1943 - 1951,1943,1951,Open with exception,Canberra,True,53
1353618,A9108,ROLL 20/33,Communism in trade unions,1950 - 1950,1950,1950,Open,Canberra,False,0
1353619,A9108,ROLL 20/34,Communistic direct action and demonstration in Western Australia,1949 - 1949,1949,1949,Open,Canberra,False,0
1353622,A9108,ROLL 20/38,All India Trade Union Congress,1947 - 1947,1947,1947,Open,Canberra,False,0
1353624,A9108,ROLL 20/37,Ainslie Progress Association,1946 - 1946,1946,1946,Open,Canberra,False,0
1353625,A9108,ROLL 20/24,Communist organisations in South Australia,1948 - 1948,1948,1948,Open,Canberra,False,0
1353626,A9108,ROLL 20/23,Communist underground activities in South Australia,1949 - 1949,1949,1949,Open,Canberra,False,0
1353627,A9108,ROLL 20/43,French Legation,1944 - 1944,1944,1944,Open,Canberra,False,0
1353629,A9108,ROLL 20/41,Japanese activities,1946 - 1946,1946,1946,Open,Canberra,True,12
1353630,A9108,ROLL 20/42,Japanese Government and intelligence organisations,1945 - 1949,1945,1949,Open,Canberra,True,25
1353631,A9108,ROLL 20/55,Miscellaneous right wing radio propaganda in Victoria,1948 - 1948,1948,1948,Open,Canberra,False,0
1353633,A9108,ROLL 20/62,Russian community in New South Wales,1948 - 1948,1948,1948,Open,Canberra,True,24
1353635,A9108,ROLL 20/60,Reports of suspected sabotage in Northern Territory,1949 - 1949,1949,1949,Open,Canberra,False,0
1353638,A9108,ROLL 20/47,Labour Progressive Party of Canada,1943 - 1947,1943,1947,Open,Canberra,False,0
1353639,A9108,ROLL 20/48,Asian Relations Conference,1947 - 1947,1947,1947,Open,Canberra,True,3
1353647,A9108,ROLL 20/51,Netherlands Communist Party,1944 - 1948,1944,1948,Open,Canberra,False,0
1353648,A9108,ROLL 16/12,South Eastern Airways,1947 - 1948,1947,1948,Open,Canberra,False,0
1353649,A9108,ROLL 20/4,Communist activities in relation to State elections in Victoria,1945 - 1947,1945,1947,Open,Canberra,False,0
1353650,A9108,ROLL 20/16,Communistic public debates and meetings in Tasmania,1949 - 1949,1949,1949,Open,Canberra,False,0
1353651,A9108,ROLL 20/15,Marx School and educational activities in Tasmania,1943 - 1943,1943,1943,Open,Canberra,False,0
1353652,A9108,ROLL 20/1,Australian Communist Party - Printed propaganda,1940 - 1945,1940,1945,Open,Canberra,False,0
1353653,A9108,ROLL 20/6,Marx School and educational activities in Victoria,1943 - 1950,1943,1950,Open,Canberra,False,0
1353654,A9108,ROLL 20/8,Vanguard Films Pty Ltd,1948 - 1948,1948,1948,Open,Canberra,False,0
1353655,A9108,ROLL 20/9,Communistic underground activities in Victoria,1949 - 1949,1949,1949,Open,Canberra,False,0
1353656,A9108,ROLL 20/10,Dolphin publications,1948 - 1949,1948,1949,Open,Canberra,False,0
1353657,A9108,ROLL 20/11,"Fairfield Pre-School Centre Association, Melbourne",1948 - 1948,1948,1948,Open,Canberra,False,0
1353732,A9108,ROLL 20/54,New Zionist Organisation - United Revisionist,1948 - 1949,1948,1949,Open with exception,Canberra,False,0
1353733,A9108,ROLL 20/40,Indonesian activities in Malaya,1946 - 1947,1946,1947,Open with exception,Canberra,False,0
1353734,A9108,ROLL 20/53,New Zionist Organisation - United Revisionist,1947 - 1948,1947,1948,Open with exception,Canberra,False,0
1353736,A9108,ROLL 16/30,Communist Party of Australia - Security measures,1951 - 1952,1951,1952,Open with exception,Canberra,False,0
1353737,A9108,ROLL 20/35,Communists amongst seamen in Australia,1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1353743,A9108,ROLL 16/23,Democratic Republic of Vietnam - Organisations abroad,1951 - 1952,1951,1952,Closed,Canberra,False,0
1353747,A9108,ROLL 16/21,Investigation of hostile diplomatic missions and representatives,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353750,A9108,ROLL 16/6,Dunlop Rubber Company - Suspected communist,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353752,A9108,ROLL 20/56,Soviet Embassy - New Zealand,1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1353753,A9108,ROLL 20/57,Russian activities - Brisbane,1940 - 1949,1940,1949,Open with exception,Canberra,True,25
1353764,A9108,ROLL 20/61,Miscellaneous reports regarding illegal traffic in arms and ammunition in Australia,1949 - 1950,1949,1950,Open with exception,Canberra,False,0
