identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
30342357,A13828,32/1/65.2,"TITLE: Ceskoslovensky Filmovy Tydenik - Czechoslovak Film Weekly Magazine. Number 35 1968, Special Edition 1968 and Number 36 1968 [Papers containing information related to the file item - script]",1968 - 1968,1968,1968,Not yet examined,Sydney,False,0
30342399,A13828,32/1/4.3,TITLE: The Lecture [Paper items relating to the file item - Script],circa1962 - circa1962,,,Not yet examined,Sydney,False,0
60089626,A13828,32/1/49 Volume 2,TITLE: Communist Party of Australia [CPA] South Australia State Conference - Adelaide 18 - 19 March 1972 [Papers containing information related to audiovisual item - Script],1972 - 1972,1972,1972,Not yet examined,Sydney,False,0
60089627,A13828,32/1/56 Volume 2,TITLE: State Conference Communist Party of Australia [CPA] Adelaide - 1974 [Papers containing information related to audiovisual item - Script],1974 - 1974,1974,1974,Open,Sydney,False,0
60089628,A13828,32/1/61 Volume 2,TITLE: South Australian State Conference 28 September 1968 Day 1 [Papers containing information related to audiovisual item - Shot List],1968 - 1968,1968,1968,Open,Sydney,False,0
60089629,A13828,32/1/62 Volume 2,TITLE: South Australian State Conference 29 September 1968 Day 2 [Papers containing information related to audiovisual item - Shot List],1968 - 1968,1968,1968,Not yet examined,Sydney,False,0
60089630,A13828,32/1/76 Volume 2,TITLE: South Australia State Conference - 1967 [Papers containing information related to audiovisual item - Shot List],1967 - 1967,1967,1967,Not yet examined,Sydney,False,0
60089631,A13828,32/1/77 Volume 2,TITLE: South Australian State Conference 14 March 1970 Day 1 [Papers containing information related to audiovisual item - Shot List],1970 - 1970,1970,1970,Open,Sydney,False,0
60089632,A13828,32/1/78 Volume 2,TITLE: South Australian State Conference 15 March 1970 Day 2 [Papers containing information related to audiovisual item - Shot List],1970 - 1970,1970,1970,Not yet examined,Sydney,False,0
60089633,A13828,32/1/116 Volume 2,TITLE: Operation Lariat South Australian State Conference 1965 [Papers containing information related to audiovisual item - Shot List],1965 - 1965,1965,1965,Not yet examined,Sydney,False,0
60089634,A13828,32/1/220 Volume 2,TITLE: Communist Party of Australia [CPA] Newcastle And Hunter Valley District Conference - 3-4 September 1955 [Papers containing information related to audiovisual item - Notes],1955 - 1955,1955,1955,Not yet examined,Sydney,False,0
60089635,A13828,32/1/426 Volume 2,TITLE: Eastern Approaches [Papers containing information related to audiovisual item - Script],1969 - 1969,1969,1969,Not yet examined,Sydney,False,0
