identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
412483,B2836,GROUP 62,Peace Publications (Three),1950 - 1951,1950,1951,Open,Melbourne,False,0
412493,B2836,GROUP 64,Publications of the Australia - Soviet Friendship League (35 Leaflets etc),1940 - 1944,1940,1944,Open,Melbourne,False,0
412501,B2836,GROUP 59/4,A.C.P. Publications,1932 - 1952,1932,1952,Open,Melbourne,False,0
412505,B2836,GROUP 60,CPA Publications and Others (110 Leaflets etc),circa1952 - 1953,,1953,Open,Melbourne,True,264
412512,B2836,GROUP 53 PART 1,"""Workers Star"" (Nos 129-163, with Gaps)",1939 - 1939,1939,1939,Open,Melbourne,False,0
412520,B2836,GROUP 53 PART 2,"""Workers Star"" (Nos 164-178)",1939 - 1939,1939,1939,Open,Melbourne,False,0
412528,B2836,GROUP 30,"""The Red Star"" (10 Issues)",1934 - 1936,1934,1936,Open,Melbourne,True,24
412632,B2836,GROUP 31,"""The Workers Star"" (10 Issues)",1936 - 1936,1936,1936,Open,Melbourne,False,0
412637,B2836,GROUP 18,"'The Fremantle Districts Sentinel"" [51 Issues]",1943 - 1945,1943,1945,Open,Melbourne,False,0
412647,B2836,GROUP 7,[CPA (Communist Party of Australia ?) and Other Publications (56 Leaflets etc) ],1926 - 1965,1926,1965,Open,Melbourne,False,0
412652,B2836,GROUP 8,[CPA (Communist Party of Australia ?) and Other Publications (48 Leaflets etc) ],1946 - 1965,1946,1965,Open,Melbourne,False,0
412656,B2836,GROUP 5,"[""No"" Campaign, 1951 Referendum (35 Leaflets etc) ]",1951 - 1951,1951,1951,Open,Melbourne,True,87
412663,B2836,GROUP 6,[CPA Publictions (83 Leaflets etc) ],1940 - 1953,1940,1953,Open,Melbourne,False,0
474749,B2836,WHOLE SERIES,Reference material accumulated by agents,1933 - 1972,1933,1972,Open,Melbourne,False,0
